"","locname","latitude","longitude","NOAA_ID","NOAA_NAME","NEAR_Y","NEAR_X","NEAR_DIST"
"757","14151000",43.944293,-122.774794,"USC00355074","LOWELL 1 E",43.9167,-122.7667,3.13591905007984
"758","14152500",43.64151,-123.085909,"USC00350781","BLACKBUTTE 1 N",43.5947,-123.0706,5.3489373693793
"759","14153500",43.720678,-123.049799,"USC00351902","COTTAGE GROVE DAM",43.7178,-123.0578,0.718231342799517
"760","14154500",43.735957,-122.873402,"USR0000OHAW","HAWLEY BUTTE OREGON",43.7139,-122.835,3.94181816893499
"761","14155500",43.792901,-122.991466,"USC00352374","DORENA",43.7822,-122.9631,2.56917617013276
"762","14158500",44.360955,-121.995617,"USS0022E11S","Smith Ridge",44.3,-122.04,7.64213642961226
"763","14158790",44.334567,-122.047007,"USS0022E10S","Bear Grass",44.33,-122.09,3.45706349503941
"764","14158850",44.2679,-122.049783,"USC00350652","BELKNAP SPRINGS 8 N",44.2867,-122.0389,2.2629017834751
"765","14159200",44.047067,-122.217825,"USC00351914","COUGAR DAM",44.1308,-122.2419,9.50715498879678
"766","14159500",44.135958,-122.248391,"USC00351914","COUGAR DAM",44.1308,-122.2419,0.772854228453999
"767","14161100",44.217904,-122.265068,"USC00351914","COUGAR DAM",44.1308,-122.2419,9.86018681659342
"768","14161500",44.209571,-122.256733,"USC00351914","COUGAR DAM",44.1308,-122.2419,8.83846875241197
"769","14162200",44.162348,-122.333119,"USC00351914","COUGAR DAM",44.1308,-122.2419,8.07955740686546
"770","14162500",44.124849,-122.47062,"USC00358887","VIDA 5 E",44.1333,-122.4667,0.990422532115836
"771","14163150",44.123738,-122.627572,"USR0000OTRO","TROUT CREEK OREGON",44.1111,-122.575,4.42577248384056
"772","14163900",44.069849,-122.771187,"USC00359001","WALTERVILLE 1 SW",44.0667,-122.8333,4.9748458384719
"773","14164700",44.059348,-122.919664,"USC00359001","WALTERVILLE 1 SW",44.0667,-122.8333,6.94890466343701
"774","14164900",44.071237,-122.964527,"USC00352706","EUGENE",44.05,-123.0833,9.77995179380258
"775","14169000",44.123457,-123.299817,"USW00024221","EUGENE MAHLON SWEET AP",44.1278,-123.2206,6.34130813892111
"776","14174000",44.638733,-123.106762,"USC00350078","ALBANY 1 N",44.65,-123.1,1.3622690784599
"777","14178000",44.706789,-122.101186,"USC00352277","DETROIT",44.7333,-122.15,4.85436712788438
"778","14179000",44.752622,-122.128965,"USC00352277","DETROIT",44.7333,-122.15,2.71588973713653
"779","14180300",44.6529,-122.130908,"USC00352277","DETROIT",44.7333,-122.15,9.06655674444264
"780","14181500",44.752622,-122.298412,"USC00355556","MILL CITY",44.75,-122.25,3.83406231213569
"781","14182500",44.791511,-122.578974,"USC00355092","LYONS 3N",44.7939,-122.595,1.29222122892028
"782","14184100",44.7079,-122.97287,"USR0000OSTY","STAYTON OREGON",44.75,-122.8667,9.60518664200301
"783","14185000",44.391792,-122.497582,"USC00351433","CASCADIA",44.3914,-122.4811,1.31033789159895
"784","14185900",44.540124,-122.435915,"USR0000OYEL","YELLOWSTONE MOUNTAIN OREGON",44.5922,-122.4278,5.82616319931663
"785","14187200",44.412347,-122.688696,"USC00353047","FOSTER DAM",44.4139,-122.6728,1.27434066141964
"786","14197900",45.284563,-122.961489,"USC00357127","REX 1 S",45.3033,-122.9133,4.30692303169531
"787","14202980",45.46928,-123.200109,"USC00357586","SCOGGINS DAM 2",45.4833,-123.2,1.55897603728375
"788","14203500",45.474837,-123.124274,"USC00352997","FOREST GROVE",45.5247,-123.1025,5.79840443203057
"789","14206950",45.403452,-122.754819,"USC00358034","STAFFORD",45.4167,-122.75,1.52038348664306
"790","14210000",45.299843,-122.353975,"USC00352693","ESTACADA 2 SE",45.2686,-122.3167,4.5358065346254
"791","14211010",45.379287,-122.577313,"USC00356334","OREGON CITY",45.3558,-122.6047,3.37610160281559
"792","14211400",45.486509,-122.421757,"USC00353522","GRESHAM 2 SW",45.4803,-122.4664,3.54820947058669
"793","14211499",45.476787,-122.498424,"USC00353522","GRESHAM 2 SW",45.4803,-122.4664,2.52719528502098
"794","14211500",45.47762,-122.507869,"USC00353522","GRESHAM 2 SW",45.4803,-122.4664,3.24690424368781
"795","14211550",45.452897,-122.64315,"USC00356749","PORTLAND KGW-TV",45.5181,-122.6894,8.09727944303538
"796","14211720",45.518452,-122.667874,"USW00024274","PORTLAND RFC CITY",45.5333,-122.6667,1.65355340207886
"797","14301500",45.47594,-123.725121,"USC00358498","TILLAMOOK 6SE",45.4294,-123.7619,5.9170248867347
"798","14316500",43.295954,-122.536713,"USC00358536","TOKETEE FALLS",43.275,-122.4497,7.4185672118072
"799","14319500",43.27206,-123.412299,"USC00359464","WINCHESTER 3 W F STN",43.2833,-123.4167,1.299620305773
"800","14320934",43.431227,-123.586757,"USC00352633","ELKTON 3 SW",43.5992,-123.5992,18.7046766967234
"801","14330000",42.730405,-122.516425,"USC00356907","PROSPECT 2 SW",42.7342,-122.5164,0.42198968679116
"802","14337600",42.655404,-122.715041,"USC00355055","LOST CREEK DAM",42.6722,-122.675,3.76924026538825
"803","14338000",42.678736,-122.741987,"USC00355055","LOST CREEK DAM",42.6722,-122.675,5.5242730810649
"804","14339000",42.524847,-122.84282,"USC00358300","TABLEROCK",42.4667,-122.8833,7.2676896559377
"805","14359000",42.437346,-122.987268,"USC00355656","MODOC ORCHARD",42.45,-122.8833,8.64638256032594
"806","14361500",42.430396,-123.317836,"USC00353445","GRANTS PASS",42.4244,-123.3236,0.817518048601613
"807","14362000",42.063736,-123.111436,"USR0000OSQU","SQUAW PEAK OREGON",42.0667,-123.0167,7.82732144140261
"808","14369500",42.354006,-123.406728,"USC00353445","GRANTS PASS",42.4244,-123.3236,10.3863977122227
"809","385106106571000",38.851659,-106.953377,"USC00051959","CRESTED BUTTE",38.8739,-106.9772,3.22035017123515
"810","402114105350101",40.353873,-105.584168,"USR0000CEST","ESTES PARK COLORADO",40.3667,-105.55,3.22730425361452
